accuracy,nsv,time,C,kernel,degree,gamma,coef0,shrinking,break_ties,feature_mask,number_of_selected_features,sensitivity_score,specificity_score,recall_score,roc_aoc,confusion_matrix,precision_score,f1_score,g_mean_score
0.9736842105263158,[27 25],5.715513229370117,17391.92298548649,poly,3.0,143874.12511291096,52904.969003188206,True,False,[ 5 7 9 10 11 13 16 17 19 20 21 22 23 24 26 ],15,0.9876543209876543,0.9393939393939394,0.9876543209876543,0.9925177702955481,[80 1][2 31],0.975609756097561,0.9815950920245398,0.9632219284007393
0.9824561403508771,[19 10],54.174500465393066,154028.8968599121,linear,3.0,44632.04905561728,131280.03880371738,True,False,[ 0 5 6 7 10 13 16 17 19 20 21 22 23 26 29 ],15,0.9696969696969697,1.0,0.9696969696969697,1.0,[64 2][0 48],1.0,0.9846153846153847,0.9847319278346619
0.9824561403508771,[40 25],4.266748666763306,8152.371602655642,poly,3.0,55940.77077947684,174179.54074281311,True,False,[ 5 6 7 10 13 16 17 19 20 21 23 26 27 28 29 ],15,1.0,0.9487179487179487,1.0,0.9832478632478632,[75 0][2 37],0.974025974025974,0.9868421052631579,0.9740215340114143
0.9736842105263158,[33 18],9.849455833435059,79692.68765049263,poly,3.0,9751.18713796771,156368.52377899623,True,False,[ 0 5 6 7 10 13 16 17 19 20 21 22 23 26 29 ],15,0.9714285714285714,0.9772727272727273,0.9714285714285714,0.9948051948051949,[68 2][1 43],0.9855072463768116,0.9784172661870504,0.9743462676844662
0.9473684210526315,[28 17],4.4629716873168945,159969.45784625818,poly,2.0,37317.865321667145,175071.54890354988,True,False,[ 5 6 7 10 13 16 17 19 20 21 22 23 24 26 29 ],15,0.9523809523809523,0.9411764705882353,0.9523809523809523,0.9863056333644569,[60 3][3 48],0.9523809523809523,0.9523809523809523,0.9467621366623017
0.9736842105263158,[31 29],5.361344575881958,94451.06764581134,poly,2.0,147013.39159646071,158114.0804555978,True,False,[ 3 5 6 7 10 13 17 18 19 21 23 25 26 28 29 ],15,1.0,0.9361702127659575,1.0,0.9892029215624007,[67 0][3 44],0.9571428571428572,0.9781021897810218,0.9675588936937934
0.9736842105263158,[47 27],8.222891569137573,111872.72496802709,poly,2.0,45035.90266583776,22773.390340149333,True,False,[ 0 4 5 6 7 10 11 13 17 19 20 21 22 23 29 ],15,0.9863013698630136,0.9512195121951219,0.9863013698630136,0.9929836284664216,[72 1][2 39],0.972972972972973,0.979591836734694,0.9686016249823641
0.9473684210526315,[19  8],13.070035696029663,171712.22119616155,linear,3.0,165781.3875831244,120399.85204947267,True,False,[ 5 6 7 10 13 15 16 17 18 20 21 23 26 28 29 ],15,0.9552238805970149,0.9361702127659575,0.9552238805970149,0.9850746268656717,[64 3][3 44],0.9552238805970149,0.9552238805970149,0.9456490593965771
0.9736842105263158,[35 15],13.614299058914185,118490.82698272348,poly,2.0,22504.17720215172,162087.06157989032,True,False,[ 0 4 5 6 7 10 11 13 17 19 20 21 22 23 29 ],15,0.9594594594594594,1.0,0.9594594594594594,1.0,[71 3][0 40],1.0,0.9793103448275862,0.9795200148335201
0.956140350877193,[32 16],7.013070106506348,187244.7972786543,poly,2.0,42036.27659491738,196766.24463246446,True,False,[ 0 1 2 5 6 7 13 15 17 19 20 22 23 28 29 ],15,0.9871794871794872,0.8888888888888888,0.9871794871794872,0.9821937321937322,[77 1][4 32],0.9506172839506173,0.9685534591194969,0.9367458980389919
0.9736842105263158,[18 10],21.237351417541504,156144.80499126427,linear,4.0,49698.7917460385,141079.81500185627,True,False,[ 0 2 5 6 7 10 13 17 19 20 21 22 23 26 29 ],15,0.9838709677419355,0.9615384615384616,0.9838709677419355,0.9787531017369727,[61 1][2 50],0.9682539682539683,0.976,0.9726406205145547
0.9824561403508771,[20 10],17.68891739845276,170044.9241622758,linear,4.0,185515.5075635831,152355.96502053706,True,False,[ 0 2 5 6 7 10 13 18 20 21 22 23 27 28 29 ],15,0.9863013698630136,0.975609756097561,0.9863013698630136,0.9976612094888072,[72 1][1 40],0.9863013698630136,0.9863013698630136,0.9809409966408504
0.9824561403508771,[35 23],2.5471513271331787,158885.4034151003,poly,2.0,83054.82978656143,127272.02893641782,True,False,[ 5 6 7 10 11 13 16 17 19 20 21 22 23 24 29 ],15,0.9859154929577465,0.9767441860465116,0.9859154929577465,0.9849328529315428,[70 1][1 42],0.9859154929577465,0.9859154929577465,0.981319125300052
0.956140350877193,[46 22],5.394505739212036,184582.53448464948,poly,3.0,103665.40554845044,139736.35727084774,True,False,[ 0 5 6 7 10 11 13 15 17 19 20 21 22 23 29 ],15,0.9583333333333334,0.9523809523809523,0.9583333333333334,0.9740410052910053,[69 3][2 40],0.971830985915493,0.965034965034965,0.9553525070351847
0.9824561403508771,[29 23],12.296470642089844,153789.6247234242,poly,2.0,67124.08466889033,184992.18347426856,True,False,[ 5 6 7 10 12 13 15 17 18 19 21 22 23 28 29 ],15,1.0,0.9444444444444444,1.0,0.9896723646723646,[78 0][2 34],0.975,0.9873417721518987,0.97182531580755
