accuracy,nsv,time,C,kernel,degree,gamma,coef0,shrinking,break_ties,feature_mask,number_of_selected_features,sensitivity_score,specificity_score,recall_score,roc_aoc,confusion_matrix,precision_score,f1_score,g_mean_score
0.9473684210526315,[14 10],1.4687085151672363,196045.6687161835,linear,4.0,156194.9539218711,20854.37872128024,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9295774647887324,0.9767441860465116,0.9295774647887324,0.986570586308549,[66 5][1 42],0.9850746268656716,0.9565217391304348,0.9528690278376405
0.9824561403508771,[29 19],3.767565965652466,8542.489392244393,poly,3.0,5778.4174080468265,136219.26283201174,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,1.0,0.9473684210526315,1.0,0.9885734072022161,[76 0][2 36],0.9743589743589743,0.9870129870129869,0.9733285267845752
0.9649122807017544,[34 28],2.019407272338867,166503.37705615588,poly,3.0,156903.32485195113,78878.80525146179,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 14 15 16 17 20 21 22 23 24 25 26 27 28 29 ],26,0.975,0.9411764705882353,0.975,0.9830882352941177,[78 2][2 32],0.975,0.975,0.9579389640386956
0.9649122807017544,[12 13],3.0072994232177734,59521.76066189674,linear,4.0,175921.85073189758,129247.25294018222,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.972972972972973,0.95,0.972972972972973,0.9807432432432432,[72 2][2 38],0.972972972972973,0.972972972972973,0.9614178718561063
0.9473684210526315,[29 27],3.7884976863861084,195831.53664143317,poly,3.0,180329.61334530628,67413.23416896458,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9411764705882353,0.9565217391304348,0.9411764705882353,0.9923273657289003,[64 4][2 44],0.9696969696969697,0.955223880597015,0.9488180829198521
0.9649122807017544,[15 12],7.395432949066162,56782.00342525819,linear,2.0,129767.45258614728,181227.5155976921,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9558823529411765,0.9782608695652174,0.9558823529411765,0.9881713554987213,[65 3][1 45],0.9848484848484849,0.9701492537313432,0.9670068778402154
0.9649122807017544,[17 11],12.035746097564697,150127.4979022553,linear,4.0,146583.96207871378,110637.12415353593,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9722222222222222,0.9523809523809523,0.9722222222222222,0.9914021164021164,[70 2][2 40],0.9722222222222222,0.9722222222222222,0.9622504486493763
0.9473684210526315,[35 28],1.0474848747253418,34365.96124301497,poly,3.0,151298.08804150057,107042.6867668269,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.9710144927536232,0.9111111111111111,0.9710144927536232,0.9748792270531401,[67 2][4 41],0.9436619718309859,0.9571428571428571,0.9405860372117724
0.956140350877193,[26 22],2.098154306411743,22032.874176082907,poly,3.0,98247.48080656987,40441.57592440585,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9733333333333334,0.9230769230769231,0.9733333333333334,0.9818803418803419,[73 2][3 36],0.9605263157894737,0.9668874172185431,0.9478721108153455
0.9824561403508771,[19 10],24.077851057052612,25316.05361761959,linear,4.0,50655.91120954988,143874.177054014,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.9722222222222222,1.0,0.9722222222222222,0.9894179894179894,[70 2][0 42],1.0,0.9859154929577464,0.9860132971832694
