accuracy,nsv,time,C,kernel,degree,gamma,coef0,shrinking,break_ties,feature_mask,number_of_selected_features,sensitivity_score,specificity_score,recall_score,roc_aoc,confusion_matrix,precision_score,f1_score,g_mean_score
0.9649122807017544,[33 21],2.2564492225646973,60567.87076031209,poly,3.0,20873.496669682634,151514.0629035745,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.9705882352941176,0.9565217391304348,0.9705882352941176,0.9824168797953964,[66 2][2 44],0.9705882352941176,0.9705882352941176,0.9635293180817432
0.9824561403508771,[29 15],6.388202905654907,115230.00503728431,poly,4.0,3787.458059982148,180027.97791823582,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9855072463768116,0.9777777777777777,0.9855072463768116,0.9974235104669887,[68 1][1 44],0.9855072463768116,0.9855072463768116,0.9816349043031303
0.956140350877193,[15 10],1.8824057579040527,46027.13391194286,linear,2.0,147913.01692064115,166609.5711396556,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 14 15 16 17 20 21 22 23 24 25 26 27 28 29 ],26,0.9615384615384616,0.9444444444444444,0.9615384615384616,0.9871794871794872,[75 3][2 34],0.974025974025974,0.967741935483871,0.9529531248281093
0.956140350877193,[48 25],5.346819639205933,50358.218097779194,poly,3.0,151968.53938380742,175303.56306555952,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.9428571428571428,0.9772727272727273,0.9428571428571428,0.9915584415584415,[66 4][1 43],0.9850746268656716,0.9635036496350364,0.9599107101332767
0.9736842105263158,[33 25],35.304726123809814,140369.1863496195,poly,3.0,147819.98446198774,4329.731787155362,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9859154929577465,0.9534883720930233,0.9859154929577465,0.9954143465443825,[70 1][2 41],0.9722222222222222,0.979020979020979,0.9695663764805236
0.956140350877193,[35 25],2.579306125640869,182173.47346025307,poly,3.0,121570.51578092684,180239.92693749734,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 14 15 16 17 20 21 22 23 24 25 26 27 28 29 ],26,0.9859154929577465,0.9069767441860465,0.9859154929577465,0.9806747461513265,[70 1][4 39],0.9459459459459459,0.9655172413793103,0.9456227703716731
0.9649122807017544,[27 11],5.086512327194214,120558.81547067697,poly,2.0,3323.633045874349,128378.43635591595,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.96,0.9743589743589743,0.96,0.99008547008547,[72 3][1 38],0.9863013698630136,0.9729729729729729,0.9671528397231822
0.9473684210526315,[36 22],18.57695746421814,110600.25616749065,poly,3.0,160432.81633668323,62961.809001125665,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9733333333333334,0.8974358974358975,0.9733333333333334,0.9866666666666667,[73 2][4 35],0.948051948051948,0.9605263157894737,0.934614505293104
0.9649122807017544,[34 20],2.015739679336548,58292.18746251662,poly,4.0,11482.532122965495,193402.38193637977,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.9594594594594594,0.975,0.9594594594594594,0.9868243243243242,[71 3][1 39],0.9861111111111112,0.9726027397260274,0.9671985178715758
0.9736842105263158,[36 22],2.082122802734375,130465.16260330024,poly,2.0,93862.22999999806,137311.01344198443,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.9629629629629629,1.0,0.9629629629629629,0.998129442573887,[78 3][0 33],1.0,0.9811320754716981,0.9813067629253163
0.9736842105263158,[46 25],48.829206705093384,117705.8486142996,poly,3.0,155079.92995083946,161351.66513384428,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.958904109589041,1.0,0.958904109589041,0.9996658870698295,[70 3][0 41],1.0,0.9790209790209791,0.9792364931869324
0.9736842105263158,[24 12],6.4190380573272705,31494.596202459525,poly,2.0,2264.7274994194368,113275.8256065697,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9743589743589743,0.9722222222222222,0.9743589743589743,0.9918091168091168,[76 2][1 35],0.987012987012987,0.9806451612903225,0.9732900119149724
0.9736842105263158,[35 21],7.110246419906616,48139.90965501195,poly,2.0,53659.15472449342,193673.38993518,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 19 20 21 22 23 24 25 26 27 28 29 ],26,0.9701492537313433,0.9787234042553191,0.9701492537313433,0.9911082883455065,[65 2][1 46],0.9848484848484849,0.9774436090225564,0.9744268983601067
0.956140350877193,[35 25],12.989940166473389,108461.42932611647,poly,4.0,19209.33707997814,168167.2497434526,True,False,[ 0 1 2 3 4 5 6 7 8 10 12 13 15 16 17 20 21 22 23 24 25 26 27 28 29 ],25,0.9848484848484849,0.9166666666666666,0.9848484848484849,0.9703282828282829,[65 1][4 44],0.9420289855072463,0.962962962962963,0.9501461875826149
